,words,sentiment_vector
1450,improve,"[0.4018597671732311, 0.4883806716835756, 0.4274986871235218, 0.43955052509868253, 0.4733215138217506, 0.0]"
1451,fight,"[0.08261016703271105, 0.27351235647963057, 0.13069347206344847, 0.502989869290936, -0.8051626909553589, 0.0]"
1452,contacted,"[0.9973499864613273, 0.0727530377756843, 0.0, 0.0, 0.0, 0.0]"
1453,low,"[0.7849511329444328, 0.38309313972776, -0.24664900776992768, -0.4198280983317918, 0.0, 0.0]"
1454,announced,"[0.8330425115789218, 0.16210496848799247, 0.5289254702638065, 0.0, 0.0, 0.0]"
1455,crap,"[0.38047836508564986, 0.1277349148820751, 0.08600674523667955, -0.9118787446780481, 0.0, 0.0]"
1456,items,"[0.3160280680695808, 0.48017625922941026, 0.8182646395052512, 0.0, 0.0, 0.0]"
1457,lhr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1458,raise,"[0.03000312812565472, 0.38124348381150985, 0.3771094602772896, 0.8364966052038006, 0.10869729898128484, 0.0]"
1459,prior,"[0.2643505557090982, 0.7785470065569212, 0.5691953463245709, 0.0, 0.0, 0.0]"
1460,global,"[0.2905973069382162, 0.2937229280990933, 0.12220830675387097, 0.2661206151683209, 0.8445736093383944, 0.17384019403191653]"
1461,pull,"[0.07986869396111228, 0.009365829898950634, 0.45096882616432166, 0.8889096640172296, 0.0, 0.0]"
1462,girlfriend,"[0.13500941339524464, 0.07049975906629193, 0.4386586446397963, 0.883209202724527, 0.06574450525898866, 0.0]"
1463,deserves,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1464,stopped,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1465,computers,"[0.9207276750288025, 0.39020577704085313, 0.0, 0.0, 0.0, 0.0]"
1466,delaying,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1467,showed,"[0.8518512493065822, 0.5237837808245069, 0.0, 0.0, 0.0, 0.0]"
1468,contacting,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1469,hare,"[0.9963661575251171, 0.08517323604650195, 0.0, 0.0, 0.0, 0.0]"
1470,play,"[0.08068163422346895, 0.01873821518212177, 0.019202333666333747, 0.6427848242410725, 0.5319598545443358, 0.5446255653668199]"
1471,boyfriend,"[0.183650851598672, 0.10674974146946808, 0.97449448139152, 0.07236962857965193, 0.0, 0.0]"
1472,blame,"[0.894954321854388, 0.1695037512526074, -0.41270478565852237, 0.0, 0.0, 0.0]"
1473,killing,"[0.44496274158262217, 0.3386552924282832, 0.09829261515449399, -0.8232006519188872, 0.0, 0.0]"
1474,prompt,"[0.9859477032497648, 0.16705426201241863, 0.0, 0.0, 0.0, 0.0]"
1475,assigned,"[0.650675275652666, 0.7593560993725716, 0.0, 0.0, 0.0, 0.0]"
1476,originally,"[0.9493236110901201, 0.3143003045286694, 0.0, 0.0, 0.0, 0.0]"
1477,london,"[0.42524285302332415, 0.6665210827153754, 0.5804706360555565, 0.19486406268413142, 0.0, 0.0]"
1478,write,"[0.60153287531487, 0.473717455027186, 0.6432339953065221, 0.0, 0.0, 0.0]"
1479,rsw,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1480,officially,"[0.09041097390082581, 0.4710256326784247, -0.8774740504186969, 0.0, 0.0, 0.0]"
1481,further,"[0.02641214878703281, 0.012796260186643739, 0.5132087995554501, 0.23264464051392603, 0.8256099886875686, 0.0]"
1482,surprised,"[0.29363237491108896, 0.6809084893758882, 0.6103090868374493, 0.2786870575099577, 0.0, 0.0]"
1483,watched,"[0.9661737925097413, 0.2578918429639516, 0.0, 0.0, 0.0, 0.0]"
1484,disgusting,"[0.8480246058067399, 0.01826086780929036, -0.4971668526142278, -0.1826086780929036, 0.0, 0.0]"
1485,surprise,"[0.18333079290967386, 0.6045968130467729, 0.6188420459077515, 0.46678371462756113, 0.0, 0.0]"
1486,chances,"[0.5867360920071465, 0.0025103213753034036, 0.8097743245020641, 0.0, 0.0, 0.0]"
1487,quality,"[0.040482267912579105, 0.3819690887876001, 0.06568766929558793, 0.3364940268048252, 0.6233262110786043, 0.5885423823353786]"
1488,cab,"[0.0913939229998941, 0.33643968582965394, 0.2630682452138205, 0.40452102672807067, -0.8035006695283595, 0.0]"
1489,providing,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1490,heading,"[0.34990352545957276, 0.35175281494901633, 0.7284310110980333, 0.47226864608883123, 0.013713790086064064, 0.0]"
1491,near,"[0.7715540448804488, 0.6361637806639251, 0.0, 0.0, 0.0, 0.0]"
1492,elite,"[0.3042860643326588, 0.44080763862145894, 0.5724982191462881, 0.6207611504115275, 0.0, 0.0]"
1493,automatically,"[0.32412042819592307, 0.29521048714574744, 0.8987751199856736, 0.0, 0.0, 0.0]"
1494,juan,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1495,feeling,"[0.2865296352327432, 0.1507150771685525, 0.2974543551759388, 0.5826696240640944, 0.02241037015631132, 0.6831548321843289]"
1496,wasting,"[0.41256053552198396, 0.051536698517241485, -0.9094711503042616, 0.0, 0.0, 0.0]"
1497,clean,"[0.2705816665536983, 0.29507307300003455, 0.5888782856557963, 0.7020967226803084, 0.0, 0.0]"
1498,allowing,"[0.33556256639492893, 0.903079892975566, 0.2680381893269858, 0.0, 0.0, 0.0]"
1499,#nothappy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1500,fort,"[0.15168764614274535, 0.4840376018626, 0.24522839901775276, 0.5315795757491223, 0.6324433926861353, 0.0]"
1501,informed,"[0.5975200230126689, 0.28600804741186286, 0.19673439512198757, 0.7145182774207648, 0.10921734258917767, 0.0]"
1502,apologize,"[0.2530617360710503, 0.47634338983623725, 0.2849647787703901, 0.4050969518860783, 0.16100949630317812, -0.6616828615199101]"
1503,rewards,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1504,mdw,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1505,jailbait,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1506,jblu,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1507,:SOS_button:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1508,chairman,"[0.9954201430025983, 0.09559675153835928, 0.0, 0.0, 0.0, 0.0]"
1509,large,"[0.31899231336422756, 0.9427027528529297, 0.09775184795207935, 0.0, 0.0, 0.0]"
1510,applied,"[0.35312960845661956, 0.9355744115949701, 0.0, 0.0, 0.0, 0.0]"
1511,posted,"[0.5548786781585129, 0.8312757460806658, -0.03301948671760067, 0.0, 0.0, 0.0]"
1512,hands,"[0.2137260824566408, 0.9768936286401592, 0.0, 0.0, 0.0, 0.0]"
1513,sf,"[0.6078570412741705, 0.21639272132881712, 0.7639921514841107, 0.0, 0.0, 0.0]"
1514,afford,"[0.20315573116396568, 0.5727092648521787, 0.5478042663955761, 0.5698699373712298, 0.07675015991531715, 0.0]"
1515,sooner,"[0.44081407822929086, 0.7637260770876373, 0.4715987994166112, 0.0, 0.0, 0.0]"
1516,#flight,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1517,texas,"[0.5782390501486305, 0.6943372405108941, 0.3684267002317505, 0.2186256249374038, 0.0, 0.0]"
1518,york,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1519,screen,"[0.5008021324045391, 0.40242083419446883, 0.7657925326146873, 0.028574348231891315, 0.0, 0.0]"
1520,returned,"[0.2529588230919156, 0.44610207585984274, 0.8584898204017868, 0.0, 0.0, 0.0]"
1521,ball,"[0.08491827609813667, 0.6520615280288, 0.7533954141413838, 0.0, 0.0, 0.0]"
1522,spending,"[0.752889284900269, 0.23154805261437258, 0.616070794643646, 0.0, 0.0, 0.0]"
1523,messages,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1524,cheers,"[0.21901082362666935, 0.06647758005307391, 0.8127227614386846, 0.5358140568556728, 0.0, 0.0]"
1525,easily,"[0.23463670666596773, 0.1641472782937236, 0.6556698718253171, 0.6986403267020045, 0.0, 0.0]"
1526,sun,"[0.7514195378170285, 0.3136706341741692, 0.5788623842910732, 0.043563189695793425, 0.0, 0.0]"
1527,denial,"[0.8241788936434264, 0.4214562545912126, 0.08324359425757899, -0.36901799516246353, 0.0, 0.0]"
1528,alternate,"[0.5532004799599534, 0.4684723293269309, 0.6888417130423192, 0.0, 0.0, 0.0]"
1529,military,"[0.2953600246852393, 0.40338631064644337, 0.07785146464036066, 0.4095676898403161, 0.3566632383720256, 0.6700945690625936]"
1530,simple,"[0.02317498907900083, 0.18124989008063982, 0.5330872493895172, 0.4740254095678755, 0.6765569398426645, 0.0]"
1531,sna,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1532,cheaper,"[0.25273824163640923, 0.5271751398286687, 0.025116791239326548, -0.8109123873508159, 0.0, 0.0]"
1533,seeing,"[0.16536244511796033, 0.17548359970351854, 0.26810541764687695, -0.9327273197500426, 0.0, 0.0]"
1534,dead,"[0.020041223191949734, 0.37058808054641745, 0.20417519751954077, 0.06265560872897714, -0.9036866643602472, 0.0]"
1535,responded,"[0.1939977348911955, 0.9810019769893867, 0.0, 0.0, 0.0, 0.0]"
1536,planning,"[0.10855934332522048, 0.39321220256086004, 0.28345136248426556, 0.8679022743603382, 0.0, 0.0]"
1537,returning,"[0.7642340466710893, 0.6404366447524225, 0.07607381919550739, 0.0, 0.0, 0.0]"
1538,absurd,"[0.15426615841731892, 0.7453217304722457, 0.1466439983414588, -0.6318172268967109, 0.0, 0.0]"
1539,unprofessional,"[0.5484189177825054, 0.5611389227234478, 0.02955571853625785, -0.6192626740930216, 0.0, 0.0]"
1540,cle,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1541,feels,"[0.036622611327949764, 0.3508646616694693, 0.9357097699239283, 0.0, 0.0, 0.0]"
1542,dia,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1543,experiences,"[0.3766768863798262, 0.28302321738435104, 0.48197120523437376, 0.006015226861258333, 0.3907617377327842, 0.6268853327231363]"
1544,stl,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1545,floor,"[0.14110479708859958, 0.35311147271740756, 0.38372602246212334, 0.8415200911204239, 0.0, 0.0]"
1546,directly,"[0.09737892251624614, 0.20139670785703115, 0.6647410072550792, 0.7127945740446031, 0.0, 0.0]"
1547,otherwise,"[0.45107597476279326, 0.33182135888530917, 0.09118928709522406, 0.823474082590562, 0.0, 0.0]"
1548,earn,"[0.0035662091621601315, 0.7587813437276704, 0.45317090509359736, 0.4678400210966271, 0.0, 0.0]"
1549,management,"[0.47247871977025857, 0.6303245754927114, 0.6159990169587861, 0.0, 0.0, 0.0]"
1550,states,"[0.9796582061566413, 0.2006733642264255, 0.0, 0.0, 0.0, 0.0]"
1551,lets,"[0.507542180868503, 0.8616269115105701, 0.0, 0.0, 0.0, 0.0]"
1552,complain,"[0.6693246749911634, 0.11916947398439114, -0.7333506091347147, 0.0, 0.0, 0.0]"
1553,public,"[0.6575380852614425, 0.44867390112740163, -0.023494748200928124, 0.6048002923980853, 0.0, 0.0]"
1554,whats,"[0.996136993209315, 0.08781281660387039, 0.0, 0.0, 0.0, 0.0]"
1555,manager,"[0.28941528509716413, 0.25762953143589695, 0.03479027997249826, 0.9182911295837397, -0.07346329036669917, 0.0]"
1556,flightation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1557,ha,"[0.3855647858381869, 0.9226807659865645, 0.0, 0.0, 0.0, 0.0]"
1558,aware,"[0.049849141164197364, 0.39088992683054957, 0.06202077844881914, 0.5144317325256272, 0.7591004833609865, 0.0]"
1559,buf,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1560,frozen,"[0.025179021193287666, 0.2433289867876068, 0.5882077629400762, 0.7695238804150657, -0.044739760489248014, 0.0]"
1561,crappy,"[0.33040795149760016, 0.3724936061955234, 0.14967007782360434, 0.03961716148977065, -0.8532927090104447, 0.0]"
1562,taxi,"[0.11473062294600121, 0.4041059198692114, 0.15561595598069408, 0.4483735328433785, 0.7734857070268614, 0.0]"
1563,pit,"[0.35618646983590035, 0.1875600043214138, 0.4242844418750812, -0.811132021231773, 0.0, 0.0]"
1564,cheap,"[0.18597166171639118, 0.647550931220673, 0.7291182506340962, 0.12032833874843746, 0.0, 0.0]"
1565,realize,"[0.1304045547527375, 0.37077858449733603, 0.9154890768621616, 0.07618997601362772, 0.03990903505475738, 0.0]"
1566,obviously,"[0.22407317333148735, 0.5244827727398286, 0.20515979084280334, 0.795373179277272, 0.0, 0.0]"
1567,often,"[0.17180034101301284, 0.19870586257188097, 0.8975044615653345, 0.3542405460667883, 0.0, 0.0]"
1568,sleeping,"[0.066787366131256, 0.10801702303805437, 0.611130807386027, -0.7812751798969096, 0.0, 0.0]"
1569,deplane,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1570,passed,"[0.6714427130290836, 0.26439332523804904, 0.6922866838887707, 0.0, 0.0, 0.0]"
1571,departs,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1572,six,"[0.568052029965522, 0.20411409538909933, 0.220143777865997, 0.7649083208600038, -0.04589449925160023, 0.0]"
1573,although,"[0.671508054733355, 0.5522629108388905, 0.49404717359780687, 0.0, 0.0, 0.0]"
1574,tpa,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1575,push,"[0.4558326224984447, 0.36621544362437547, 0.06235322901038527, 0.8088355481488005, 0.0, 0.0]"
1576,east,"[0.6864800169331191, 0.2994882732191449, 0.13026274222431564, 0.6307158517496564, 0.155823916314621, 0.0]"
1577,heck,"[0.8436834959539437, 0.45524017804552075, -0.2845251112784505, 0.0, 0.0, 0.0]"
1578,reward,"[0.48621585593530825, 0.2984823106065329, 0.6214758915941103, 0.536907969636684, 0.0, 0.0]"
1579,lauderdale,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1580,feature,"[0.7719365944441673, 0.1623352150770639, 0.05595264295221834, 0.6049007841840234, 0.09341046592346987, 0.0]"
1581,columbus,"[0.49666780909095054, 0.5675541452912632, 0.6566607796842284, 0.0, 0.0, 0.0]"
1582,summer,"[0.3927867191420509, 0.24418826502774474, 0.10441849623809725, 0.17320167779903856, 0.5283707051895513, 0.4476835531655311]"
1583,:blue_heart:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1584,locator,"[0.9828721869343219, 0.18428853505018536, 0.0, 0.0, 0.0, 0.0]"
1585,skies,"[0.05837989787830978, 0.7472883342807906, 0.6619304593169585, 0.0, 0.0, 0.0]"
1586,brand,"[0.5405760123976993, 0.2861682829749769, 0.10310444142171678, 0.7670900328107787, 0.1637914660805933, 0.0]"
1587,song,"[0.5046674627665513, 0.8427241811704439, 0.18551773543330616, 0.026643504556910988, 0.0, 0.0]"
1588,Business,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1589,bet,"[0.282954347241828, 0.19913911106898355, 0.3800311511927321, 0.1233867374002377, -0.8489007533136355, 0.0]"
1590,recent,"[0.22945169948252492, 0.21491384754272763, 0.5093756512188142, 0.8010620460890475, 0.0, 0.0]"
1591,concerned,"[0.5951692666780423, 0.10711935076053324, 0.15796830033820303, 0.2409011751213594, -0.7425036219493955, 0.0]"
1592,thats,"[0.1256677505451599, 0.9920723846942419, 0.0, 0.0, 0.0, 0.0]"
1593,track,"[0.5304765758807588, 0.493176728797942, 0.3003278587450037, 0.61632629390427, 0.0729136017342105, 0.0]"
1594,ran,"[0.9921256120507876, 0.08060779557857108, 0.09586007096186232, 0.0, 0.0, 0.0]"
1595,begin,"[0.23221912096943065, 0.3827406140302598, 0.5640154644414506, 0.6802898361624365, 0.1366608828923063, 0.0]"
1596,rescheduling,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1597,oscars,"[0.3428247836352345, 0.9393993654061379, 0.0, 0.0, 0.0, 0.0]"
1598,paris,"[0.5771894250146863, 0.7014734032955332, 0.3759857159892244, 0.1828173227357521, 0.0, 0.0]"
1599,errors,"[0.990112109944341, 0.14027832955080843, 0.0, 0.0, 0.0, 0.0]"
1600,:grinning_face_with_smiling_eyes:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1601,moment,"[0.27937522239464774, 0.17454811367690792, 0.054255088278834435, 0.4895250045960569, 0.4052359309570008, 0.6961953293841273]"
1602,model,"[0.10376784868296546, 0.32740816435546627, 0.1534567134850527, 0.08518841233165204, 0.5648228065362947, 0.7295240203038797]"
1603,laptop,"[0.38803806018590464, 0.29332308254153794, 0.5952176660191342, 0.6396123538161415, 0.0, 0.0]"
1604,paper,"[0.8653174306106405, 0.5008539283163652, -0.01926361262755251, 0.0, 0.0, 0.0]"
1605,sharing,"[0.02684920774015508, 0.2552170030653351, 0.08511288661772777, 0.33414451584501115, 0.07205085976082144, 0.7247291470093381]"
1606,dad,"[0.08459862611946549, 0.08623793229521151, 0.6432015902064243, 0.4105382378563759, 0.6349457938327129, 0.0]"
1607,didnt,"[0.9120871486989254, 0.4099963819087485, 0.0, 0.0, 0.0, 0.0]"
1608,mechanics,"[0.7075058017969386, 0.7067075352815131, 0.0, 0.0, 0.0, 0.0]"
1609,certificate,"[0.10695584201970762, 0.975477372542209, 0.1923651307176112, 0.0, 0.0, 0.0]"
1610,cares,"[0.9772618373076996, 0.03923711824229829, 0.2083740624310505, 0.0, 0.0, 0.0]"
1611,nuts,"[0.6273685533780079, 0.20819458036555247, 0.7503757158509309, 0.0, 0.0, 0.0]"
1612,unavailable,"[0.7884160506745613, 0.2577298377844889, -0.5585476360654558, 0.0, 0.0, 0.0]"
1613,minor,"[0.15835185239268204, 0.2340195458888083, 0.4656852661318335, 0.09465657445240828, 0.23013207571498434, -0.8008596234881455]"
1614,difficult,"[0.09849255897854291, 0.2660698948126114, 0.1970622205359657, 0.2970967981582534, 0.23212948090372146, -0.8593729718563305]"
1615,properly,"[0.5750072656107299, 0.8181483022624146, 0.0, 0.0, 0.0, 0.0]"
1616,transferred,"[0.8557552111595493, 0.5173809221195493, 0.0, 0.0, 0.0, 0.0]"
1617,inbound,"[0.4801821079878375, -0.8771688225013227, 0.0, 0.0, 0.0, 0.0]"
1618,hotels,"[0.9505435192131547, 0.30971502517583843, 0.023315687041149342, 0.0, 0.0, 0.0]"
1619,pax,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1620,considering,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1621,flightations,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1622,outlets,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1623,easier,"[0.5585045185594412, 0.2841906244855989, 0.09597197669696422, 0.7733678111946793, 0.0, 0.0]"
1624,looked,"[0.2958171357171224, 0.8904949911898667, 0.34570347536852586, 0.0, 0.0, 0.0]"
1625,girl,"[0.06777054929548215, 0.4622294879910541, 0.7025249551653515, 0.5344885807541796, 0.0503159765185995, 0.0]"
1626,costs,"[0.5412470384782414, 0.8408636294539877, 0.0, 0.0, 0.0, 0.0]"
1627,appears,"[0.8962689530700024, 0.4332666197185138, 0.09477341399619667, 0.0, 0.0, 0.0]"
1628,frustration,"[0.9470800325203711, 0.057421783184074024, -0.3158198075124072, 0.0, 0.0, 0.0]"
1629,effort,"[0.44191066479156244, 0.8958013856979237, 0.04748517374043435, 0.0, 0.0, 0.0]"
1630,whose,"[0.384533695052835, 0.9057241411818471, 0.1783188645360301, 0.0, 0.0, 0.0]"
1631,speed,"[0.030167887956662705, 0.619783583906397, 0.7767163625423947, 0.10802731050659177, 0.0, 0.0]"
1632,dates,"[0.6251790724720782, 0.7804161998727122, 0.010083765129498561, 0.0, 0.0, 0.0]"
1633,boards,"[0.15472484144394047, 0.6927924369484236, 0.33590292616340023, 0.6190864939102431, 0.0, 0.0]"
1634,reimbursed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1635,yyz,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1636,stand,"[0.46183580013006964, 0.6271465401470466, 0.625045472384829, -0.052087122698735756, 0.0, 0.0]"
1637,wet,"[0.12569957439630386, 0.8437133585422504, 0.5202919499773607, -0.04054222986836577, 0.0, 0.0]"
1638,piece,"[0.25682312610739483, 0.18832180214157143, 0.5491238177534582, 0.0, 0.7726835144549434, 0.0]"
1639,raleigh,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1640,honeymoon,"[0.7452214047087944, 0.6668171098313626, 0.0, 0.0, 0.0, 0.0]"
1641,certain,"[0.3103748980981122, 0.6197253040867777, 0.7208383800167257, 0.0, 0.0, 0.0]"
1642,#epicfail,"[0.8562811260689849, 0.5165100513426929, 0.0, 0.0, 0.0, 0.0]"
1643,house,"[0.12183324965402562, 0.5744003805555029, 0.1066603773092842, 0.8023991687487434, 0.0, 0.0]"
1644,interview,"[0.29053369072700885, 0.8354691100869969, 0.4172601874353071, 0.20462497848049094, 0.04005115237162634, 0.0]"
1645,bdl,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1646,annoying,"[0.9486277082635879, 0.07418001593106338, -0.3075756758117262, 0.0, 0.0, 0.0]"
1647,hearing,"[0.31605598047148137, 0.34483469030164765, 0.8838538643762198, 0.0, 0.0, 0.0]"
1648,respect,"[0.37846989734140357, 0.6333077753968173, 0.5324787215050287, 0.39519456353339777, 0.12637035461823767, 0.0]"
1649,higher,"[0.2427173735738421, 0.08670317522985997, 0.005514965596800991, 0.2767577897174764, 0.6679367071851544, 0.6409415746776712]"
1650,felt,"[0.27179073138137044, 0.5793150199138056, 0.7684555328953306, 0.0, 0.0, 0.0]"
1651,connected,"[0.4477333079366609, 0.6117072877056792, -0.6521879170391434, 0.0, 0.0, 0.0]"
1652,pvd,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1653,incompetent,"[0.8146109365933241, 0.103961297924981, -0.5706146427461363, 0.0, 0.0, 0.0]"
1654,knowing,"[0.2619464650264216, 0.04866450244990811, 0.7335507069816768, -0.6252352964669754, 0.0, 0.0]"
1655,expecting,"[0.7289581271311074, 0.4889853719024279, 0.4790755211393634, 0.0, 0.0, 0.0]"
1656,Computer,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1657,shuttle,"[0.2722507400793451, 0.2641410435533905, 0.4852860099905736, 0.38405557921987893, 0.6878283537440769, 0.0]"
1658,state,"[0.17456534836766063, 0.3972817925718904, 0.5425704022304484, 0.7192436826720356, 0.0, 0.0]"
1659,memphis,"[0.9829541287380178, 0.1838509744246257, 0.0, 0.0, 0.0, 0.0]"
1660,guarantee,"[0.4913936112151124, 0.025171008301900395, 0.16553090510912338, 0.6396592996652565, 0.5668635100300112, 0.0]"
1661,shout,"[0.36015532763271013, 0.014115172077049584, 0.2508972617450459, -0.8984094088687231, 0.0, 0.0]"
1662,cell,"[0.23015140410088653, 0.6701797741232051, 0.7028517647391506, 0.06236023051290061, 0.0, 0.0]"
1663,usual,"[0.6343814343179163, 0.762732029382063, 0.12569823844216396, 0.0, 0.0, 0.0]"
1664,wheelchair,"[0.6713089800944759, 0.6909126436726456, 0.2602875731960198, -0.06507189329900495, 0.0, 0.0]"
1665,listed,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1666,insane,"[0.18735919211554877, 0.24074174691777503, 0.07094055274257509, -0.9496880447796343, 0.0, 0.0]"
1667,specific,"[0.5042640401113825, 0.23136082772224256, 0.5034752723592565, 0.6623462805579853, 0.0, 0.0]"
1668,cun,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1669,west,"[0.39519858127054525, 0.1385028184651002, 0.05068848398767424, 0.5041761599899353, -0.75357290817001, 0.0]"
1670,located,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1671,mke,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1672,contest,"[0.6723262172282768, 0.35119348393903915, 0.022731530855224776, 0.6491240851046522, 0.05255277450622372, 0.0]"
1673,#flyingitforward,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1674,admirals,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1675,opportunity,"[0.06778593453566317, 0.13378582631782043, 0.2852042892713586, 0.5687674393161202, 0.7531347937158133, 0.07386823136658296]"
1676,<laugh>,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1677,among,"[0.8165705641263049, 0.5569664116265409, 0.15166057537245092, 0.0, 0.0, 0.0]"
1678,anytime,"[0.1582716826935558, 0.15284212256197496, 0.13300915767166566, 0.8286673940747449, 0.4972004364448469, 0.0]"
1679,marketing,"[0.7042156853582028, 0.2479663446983059, 0.33413636861479185, 0.575278930225467, 0.0, 0.0]"
1680,waive,"[0.3536497363157008, -0.9353779257625419, 0.0, 0.0, 0.0, 0.0]"
1681,outstanding,"[0.5452322215040916, 0.46335563191866075, 0.0974025746329872, 0.49738804590440355, 0.4807715187583767, 0.0]"
1682,queue,"[0.4609088815793162, 0.3042056155000342, 0.2167708057107092, 0.7864761378534105, -0.17171968075401978, 0.0]"
1683,face,"[0.288110535362102, 0.343612928004251, 0.5085860223671252, 0.4177352793173061, 0.6047809267728164, 0.0]"
1684,april,"[0.5864070467722383, 0.5414049518201659, 0.07312437079136555, 0.5980470550356658, 0.0, 0.0]"
1685,reimburse,"[0.6071186580612739, -0.7946111848154908, 0.0, 0.0, 0.0, 0.0]"
1686,somehow,"[0.6158965108747436, 0.7878270672503686, 0.0, 0.0, 0.0, 0.0]"
1687,continues,"[0.09383809421769444, 0.33054172529947745, 0.2669655962992088, -0.9003698963771742, 0.0, 0.0]"
1688,position,"[0.11421950396592476, 0.3945180962122993, 0.884538764049205, 0.22113469101230124, 0.0, 0.0]"
1689,earned,"[0.005834599937753248, 0.9999829785769188, 0.0, 0.0, 0.0, 0.0]"
1690,black,"[0.13646460908118424, -0.4303883824868119, -0.8922685978385124, 0.0, 0.0, 0.0]"
1691,incredible,"[0.1414842490403058, 0.6172758894535563, 0.18847785264690348, 0.5710866921164408, 0.48712295441904113, 0.0]"
1692,commercial,"[0.13028240638717678, 0.6115848472768883, 0.7794191817003597, -0.038680852689844156, 0.0, 0.0]"
1693,timely,"[0.4798986022385638, 0.6139410078226336, 0.6267166588524687, 0.0, 0.0, 0.0]"
1694,wants,"[0.33589527585267026, 0.7403279523430691, 0.5823133921174896, 0.0, 0.0, 0.0]"
1695,int,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1696,according,"[0.9009240117675621, 0.43397687152732184, 0.0, 0.0, 0.0, 0.0]"
1697,inconvenient,"[0.711653437651336, 0.17516853962478007, -0.6803420958641011, 0.0, 0.0, 0.0]"
1698,mileageplus,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1699,fails,"[0.3259098140104444, 0.5652743289477085, 0.7577913473802637, 0.0, 0.0, 0.0]"
1700,airfare,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1701,washington,"[0.42401407565743576, 0.23003702471908163, 0.3553408405823662, 0.8006421909423587, 0.0, 0.0]"
1702,local,"[0.415571845833859, 0.19562441504678965, 0.8789127768364768, 0.1286213819760698, 0.0, 0.0]"
1703,rooms,"[0.3713112963705862, 0.37123924776838085, 0.8510636533796763, 0.0, 0.0, 0.0]"
1704,doors,"[0.7197116662719655, 0.6942730856313176, 0.0, 0.0, 0.0, 0.0]"
1705,disappointment,"[0.528199775727845, 0.6116778091849208, 0.044971624700132655, 0.07609259289192472, -0.5822737543034239, 0.0]"
1706,exact,"[0.4090874959875389, 0.9029178887133888, 0.13185866246857555, 0.0, 0.0, 0.0]"
