,words,sentiment_vector
70,plane,"[0.8948175893333065, 0.4450651393905965, 0.03490706975612522, 0.0, 0.0, 0.0]"
71,if,"[0.7261872657533185, 0.6874969491261174, 0.0, 0.0, 0.0, 0.0]"
72,would,"[0.12227333378190285, 0.04602026247393111, 0.9914289522137679, 0.0, 0.0, 0.0]"
73,hour,"[0.1431430495463461, 0.0817939160398034, 0.37221396804098766, 0.1810929699886863, 0.8743661450871534, -0.12355173789274991]"
74,why,"[0.9480774484175825, 0.31803954439975923, 0.0, 0.0, 0.0, 0.0]"
75,still,"[0.10098299670091389, -0.99488815169209, 0.0, 0.0, 0.0, 0.0]"
76,as,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
77,one,"[0.5806300116065408, -0.8141675439501309, 0.0, 0.0, 0.0, 0.0]"
78,need,"[0.13407755398157328, 0.18408866980338748, 0.4947324019215134, 0.030071969528562576, 0.8381348926670344, 0.0]"
79,delayed,"[0.504134042863216, 0.7863306062003003, 0.22575458643752433, 0.2767090733631259, 0.0, 0.0]"
80,back,"[0.003932784850591363, 0.4698050042225092, 0.882761457705765, 0.0, 0.0, 0.0]"
81,did,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
82,:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
83,about,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
84,gate,"[0.5990554444877962, 0.1110836634861884, 0.3728094041242795, 0.6922177341438647, 0.10315401528418375, 0.0]"
85,call,"[0.08154203413193455, 0.1720643136956971, 0.02388453737641998, 0.9061029285595524, 0.3096614385481299, 0.2150850385974695]"
86,had,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
87,flightled,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
88,has,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
89,over,"[0.9625979313807839, 0.27093398181371753, 0.0, 0.0, 0.0, 0.0]"
